origin,destination,regime
MLA,VLC,SCHENGEN
MLA,BKK,WCO
MLA,BOM,WCO
MLA,DXB,WCO
MLA,JED,WCO
MLA,PUS,WCO
MLA,HKG,WCO
MLA,TIA,SCHENGEN
MLA,AMS,SCHENGEN
TIA,ALG,WCO
TIA,AMM,WCO
TIA,ATH,SCHENGEN
TIA,BCN,SCHENGEN
TIA,BEY,WCO
TIA,CAI,WCO
TIA,CMN,WCO
TIA,FCO,SCHENGEN
TIA,IST,WCO
TIA,LIS,SCHENGEN
TIA,MAD,SCHENGEN
TIA,MLA,SCHENGEN
TIA,MRS,SCHENGEN
TIA,NKC,WCO
TIA,TLV,WCO
TIA,TUN,WCO
TIA,TIP,WCO
TIA,VLC,SCHENGEN
TIA,BKK,WCO
TIA,BOM,WCO
TIA,DXB,WCO
TIA,JED,WCO
TIA,PUS,WCO
TIA,HKG,WCO
TIA,MLA,SCHENGEN
TIA,AMS,SCHENGEN
AMS,ALG,WCO
AMS,AMM,WCO
AMS,ATH,SCHENGEN
AMS,BCN,SCHENGEN
AMS,BEY,WCO
AMS,CAI,WCO
AMS,CMN,WCO
AMS,FCO,SCHENGEN
AMS,IST,WCO
AMS,LIS,SCHENGEN
AMS,MAD,SCHENGEN
AMS,MLA,SCHENGEN
AMS,MRS,SCHENGEN
AMS,NKC,WCO
AMS,TLV,WCO
AMS,TUN,WCO
AMS,TIP,WCO
AMS,VLC,SCHENGEN
AMS,BKK,WCO
AMS,BOM,WCO
AMS,DXB,WCO
AMS,JED,WCO
AMS,PUS,WCO
AMS,HKG,WCO
AMS,MLA,SCHENGEN
AMS,TIA,SCHENGEN
